A1OB0Y2JQ66L0S,B000QQPFUS,5.0,1344643200
A19ZYEX88K18MC,B000QQPFUS,5.0,1363737600
A269RN1TMZFTUU,B000QQXP14,4.0,1280102400
A1P38QD8R0S590,B000QQU45E,5.0,1391644800
AKOEGYWA4H6T8,B000QQUUJ4,5.0,1366416000
A1OB0Y2JQ66L0S,B000QQUUJ4,3.0,1232236800
A19ZYEX88K18MC,B000QQV3MM,5.0,1254355200
A12CXYJMT3V33Z,B000QQUUJ4,5.0,1266192000
A1P38QD8R0S590,B000QQW7W2,5.0,1367366400
AKOEGYWA4H6T8,B000QQW7W2,5.0,1219449600
A13NAP80B8TK9K,B000QQUUJ4,5.0,1374105600
A269RN1TMZFTUU,B000QQWR7C,3.0,1385683200
AFTCRWXJXHP60,B000QQPFUS,5.0,1354492800
A1P38QD8R0S590,B000QQXFZ0,5.0,1400976000
A269RN1TMZFTUU,B000QQUUJ4,5.0,1191283200
A2B0KQDA9Y55JU,B000QQXO42,4.0,1200182400
AGS9W2NL88KY5,B000QQXO42,5.0,1369094400
AKOEGYWA4H6T8,B000QQXP14,1.0,1305763200
A269RN1TMZFTUU,B000QQXP14,4.0,1318118400
A19ZYEX88K18MC,B000QQXP14,2.0,1348185600